iter	Passed	Remaining
601	1263	835
602	1265	833
603	1267	830
604	1269	828
605	1271	826
606	1272	824
607	1274	821
608	1276	819
609	1278	817
610	1280	814
611	1281	812
612	1283	810
613	1285	808
614	1287	806
615	1289	804
616	1292	802
617	1294	800
618	1296	797
619	1298	795
620	1300	793
621	1302	791
622	1304	789
623	1305	786
624	1308	784
625	1310	782
626	1311	780
627	1313	778
628	1315	775
629	1317	773
630	1318	771
631	1320	768
632	1322	766
633	1324	764
634	1325	762
635	1327	759
636	1329	757
637	1330	755
638	1332	752
639	1334	750
640	1336	748
641	1338	746
642	1339	743
643	1341	741
644	1343	739
645	1345	737
646	1347	734
647	1348	732
648	1350	730
649	1352	728
650	1354	726
651	1356	724
652	1358	721
653	1360	719
654	1362	717
655	1363	715
656	1365	712
657	1367	710
658	1369	708
659	1372	706
660	1374	704
661	1375	702
662	1377	700
663	1379	697
664	1381	695
665	1382	693
666	1384	691
667	1386	689
668	1388	687
669	1390	684
670	1392	682
671	1394	680
672	1396	678
673	1398	676
674	1399	674
675	1401	671
676	1403	669
677	1405	667
678	1407	665
679	1408	663
680	1410	660
681	1412	658
682	1414	656
683	1415	654
684	1417	652
685	1419	649
686	1421	647
687	1423	645
688	1425	643
689	1427	641
690	1429	639
691	1431	636
692	1433	634
693	1434	632
694	1436	630
695	1438	628
696	1440	626
697	1441	623
698	1443	621
699	1445	619
700	1447	617
701	1449	615
702	1451	613
703	1453	611
704	1454	608
705	1456	606
706	1458	604
707	1460	602
708	1462	600
709	1463	597
710	1465	595
711	1467	593
712	1468	591
713	1470	589
714	1472	586
715	1474	584
716	1475	582
717	1477	580
718	1479	578
719	1481	576
720	1483	574
721	1485	572
722	1487	569
723	1489	567
724	1491	565
725	1493	563
726	1494	561
727	1496	559
728	1498	556
729	1500	554
730	1502	552
731	1503	550
732	1505	548
733	1507	546
734	1508	544
735	1510	541
736	1512	539
737	1514	537
738	1516	535
739	1518	533
740	1519	531
741	1521	529
742	1523	527
743	1525	524
744	1527	522
745	1529	520
746	1530	518
747	1532	516
748	1534	514
749	1536	512
750	1537	509
751	1539	507
752	1541	505
753	1543	503
754	1545	501
755	1546	499
756	1548	497
757	1550	495
758	1552	492
759	1553	490
760	1555	488
761	1558	486
762	1559	484
763	1561	482
764	1563	480
765	1564	478
766	1566	475
767	1568	473
768	1569	471
769	1571	469
770	1573	467
771	1575	465
772	1577	463
773	1579	461
774	1581	459
775	1582	456
776	1584	454
777	1586	452
778	1588	450
779	1590	448
780	1592	446
781	1593	444
782	1595	442
783	1597	440
784	1599	437
785	1600	435
786	1602	433
787	1604	431
788	1606	429
789	1608	427
790	1609	425
791	1611	423
792	1613	421
793	1615	419
794	1616	416
795	1618	414
796	1620	412
797	1622	410
798	1623	408
799	1625	406
800	1627	404
801	1629	402
802	1631	400
803	1633	398
804	1634	396
805	1636	393
806	1638	391
807	1640	389
808	1642	387
809	1643	385
810	1645	383
811	1647	381
812	1649	379
813	1650	377
814	1652	375
815	1654	373
816	1656	370
817	1657	368
818	1659	366
819	1661	364
820	1663	362
821	1664	360
822	1666	358
823	1668	356
824	1669	354
825	1671	352
826	1673	350
827	1675	348
828	1677	345
829	1678	343
830	1680	341
831	1682	339
832	1684	337
833	1686	335
834	1688	333
835	1689	331
836	1691	329
837	1693	327
838	1694	325
839	1697	323
840	1698	321
841	1700	319
842	1702	316
843	1704	314
844	1706	312
845	1707	310
846	1709	308
847	1711	306
848	1712	304
849	1714	302
850	1716	300
851	1718	298
852	1720	296
853	1722	294
854	1723	292
855	1725	290
856	1727	288
857	1729	286
858	1730	284
859	1732	282
860	1734	279
861	1735	277
862	1737	275
863	1739	273
864	1741	271
865	1742	269
866	1744	267
867	1746	265
868	1748	263
869	1750	261
870	1752	259
871	1753	257
872	1756	255
873	1758	253
874	1760	251
875	1762	249
876	1763	247
877	1765	245
878	1767	243
879	1769	241
880	1771	239
881	1773	237
882	1774	235
883	1776	233
884	1778	231
885	1780	229
886	1781	226
887	1783	224
888	1785	222
889	1787	220
890	1789	218
891	1790	216
892	1792	214
893	1794	212
894	1796	210
895	1798	208
896	1799	206
897	1801	204
898	1803	202
899	1805	200
900	1806	198
901	1809	196
902	1810	194
903	1812	192
904	1814	190
905	1815	188
906	1817	186
907	1819	184
908	1821	182
909	1823	180
910	1824	178
911	1826	176
912	1828	174
913	1830	172
914	1831	170
915	1833	168
916	1835	166
917	1837	164
918	1839	162
919	1840	160
920	1842	158
921	1844	156
922	1846	154
923	1848	152
924	1850	150
925	1852	148
926	1854	146
927	1856	144
928	1858	142
929	1860	140
930	1862	138
931	1863	135
932	1865	133
933	1867	131
934	1869	129
935	1870	127
936	1872	125
937	1874	123
938	1876	121
939	1878	119
940	1880	117
941	1882	115
942	1883	113
943	1885	111
944	1887	109
945	1889	107
946	1891	105
947	1892	103
948	1894	101
949	1896	99
950	1898	97
951	1900	95
952	1902	93
953	1903	91
954	1905	89
955	1907	87
956	1908	85
957	1910	83
958	1912	81
959	1914	79
960	1915	77
961	1917	75
962	1919	73
963	1920	71
964	1922	69
965	1924	67
966	1926	65
967	1928	63
968	1930	61
969	1931	59
970	1933	57
971	1935	55
972	1937	53
973	1939	51
974	1940	49
975	1942	47
976	1944	45
977	1946	43
978	1948	41
979	1950	39
980	1952	37
981	1953	35
982	1955	33
983	1957	31
984	1959	29
985	1960	27
986	1962	25
987	1964	23
988	1966	21
989	1967	19
990	1969	17
991	1971	15
992	1973	13
993	1975	11
994	1977	9
995	1978	7
996	1980	5
997	1982	3
998	1984	1
999	1986	0
